# year,team,score,seed,numwins
2017,MEM,98,7,2
2017,MIL,72,6,2
2017,OKC,64,8,1
2017,POR,0,8,0
2017,SAS,112,2,8
2017,TOR,76,3,4
2017,UTA,140,5,4
2017,WAS,152,4,7
2018,BOS,124,2,11
2018,CLE,312,4,12
2018,GSW,224,2,16
2018,HOU,91,1,11
2018,IND,75,5,3
2018,MIA,36,6,1
2018,MIL,147,7,3
2018,MIN,64,8,1
2018,NOP,220,6,5
2018,OKC,32,4,2
2018,PHI,85,3,5
2018,POR,0,3,0
2018,SAS,49,7,1
2018,TOR,44,1,4
2018,UTA,165,5,5
2018,WAS,128,8,2
2019,BOS,120,4,5
2019,BRK,36,6,1
2019,DEN,68,2,7
2019,DET,0,8,0
2019,GSW,134,1,14
2019,HOU,136,4,6
2019,IND,0,5,0
2019,LAC,128,8,2
2019,MIL,90,1,10
2019,OKC,36,6,1
2019,ORL,49,7,1
2019,PHI,103,3,7
2019,POR,152,3,8
2019,SAS,147,7,3
2019,TOR,224,2,16
2019,UTA,25,5,1
2020,BOS,170,3,10
2020,BRK,0,7,0
2020,DAL,98,7,2
2020,DEN,161,3,9
2020,HOU,120,4,5
2020,IND,0,4,0
2020,LAC,68,2,7
2020,LAL,176,1,16
2020,MEM,0,9,0
2020,MIA,470,5,14
2020,MIL,45,1,5
2020,OKC,75,5,3
2020,ORL,64,8,1
2020,PHI,0,6,0
2020,POR,148,8,2
2020,TOR,68,2,7
2020,UTA,108,6,3
2021,ATL,330,5,10
2021,BOS,118,7,2
2021,BRK,68,2,7
2021,CHA,0,10,0
2021,DAL,75,5,3
2021,DEN,76,3,4
2021,GSW,0,8,0
2021,IND,101,9,1
2021,LAC,240,4,10
2021,LAL,167,7,3
2021,MEM,283,9,3
2021,MIA,0,6,0
2021,MIL,304,3,16
2021,NYK,16,4,1
2021,PHI,47,1,7
2021,PHX,176,2,14
2021,POR,72,6,2
2021,SAS,0,10,0
2021,UTA,46,1,6
2021,WAS,148,8,2
2022,ATL,283,9,3
2022,BKN,0,7,0
2022,BOS,176,2,14
2022,BRK,69,7,1
2022,CHA,0,10,0
2022,CHI,36,6,1
2022,CLE,0,8,0
2022,DAL,224,4,9
2022,DEN,36,6,1
2022,GSW,304,3,16
2022,LAC,0,8,0
2022,MEM,64,2,6
2022,MIA,91,1,11
2022,MIL,103,3,7
2022,MIN,167,7,3
2022,NOP,364,9,4
2022,PHI,136,4,6
2022,PHX,47,1,7
2022,SAS,0,10,0
2022,TOR,50,5,2
2022,UTA,50,5,2
2023,ATL,212,8,3
2023,BKN,0,6,0
2023,BOS,124,2,11
2023,CHI,120,10,1
2023,CLE,16,4,1
2023,DEN,176,1,16
2023,GSW,256,6,6
2023,LAC,25,5,1
2023,LAL,541,7,9
2023,MEM,8,2,2
2023,MIA,826,7,14
2023,MIL,1,1,1
2023,MIN,148,8,2
2023,NOP,0,9,0
2023,NYK,190,5,6
2023,OKC,120,10,1
2023,PHI,103,3,7
2023,PHX,136,4,6
2023,SAC,27,3,3
2023,TOR,0,9,0
2024,ATL,0,10,0
2024,BOS,176,1,16
2024,CHI,101,9,1
2024,CLE,120,4,5
2024,DAL,445,5,13
2024,DEN,68,2,7
2024,GSW,120,10,1
2024,IND,368,6,8
2024,LAC,32,4,2
2024,LAL,133,7,2
2024,MIA,148,8,2
2024,MIL,18,3,2
2024,MIN,161,3,9
2024,NOP,69,8,1
2024,NYK,68,2,7
2024,OKC,46,1,6
2024,ORL,75,5,3
2024,PHI,167,7,3
2024,PHX,0,6,0
2024,SAC,0,9,0
